GID_0,GID_1,GID_2,rwi_weight,pop2020,download_kbps_fixed,upload_kbps_fixed,download_mbps_fixed,upload_mbps_fixed,latency_fixed,tests_unique_dev_fixed,tests_fixed,hdi,life_expectancy,literacy_rate,gdp_per_capita,life_expectancy_index,literacy_index,education_index,gdp_index,pop60plus,pop60plus_ratio
SLV,SLV.6_1,SLV.6.5_1,0.5538115229072206,42942.288831841855,-1,-1,-1,-1,-1,-1,-1,0.743,70.3,86.5,6415.6,0.755,0.865,0.779,0.695,2898.1898139999994,0.0674903432685912
SLV,SLV.6_1,SLV.6.6_1,0.2360539331094492,202.024280735016,-1,-1,-1,-1,-1,-1,-1,0.692,72.2,83.3,2402.8,0.786,0.833,0.761,0.531,26.27451,0.1300561987123855
SLV,SLV.6_1,SLV.6.7_1,-0.1810830864865286,4266.093763491666,-1,-1,-1,-1,-1,-1,-1,0.71,70.6,81.3,3726.2,0.76,0.813,0.765,0.604,482.613071,0.1131276286353809
SLV,SLV.6_1,SLV.6.8_1,-0.248,3783.5356346459057,-1,-1,-1,-1,-1,-1,-1,0.692,69.9,81.8,2883.4,0.748,0.818,0.766,0.561,450.434702,0.1190512646095787
SLV,SLV.6_1,SLV.6.9_1,0.0208473539693103,7369.797217715131,-1,-1,-1,-1,-1,-1,-1,0.692,68.6,83.3,3401.0,0.726,0.833,0.761,0.589,681.2312890000001,0.0924355540424493
SLV,SLV.6_1,SLV.6.10_1,0.3843203111069069,19584.135571120845,-1,-1,-1,-1,-1,-1,-1,0.7,68.2,84.9,3730.0,0.72,0.849,0.776,0.604,1671.47246,0.0853482888703439
SLV,SLV.6_1,SLV.6.11_1,0.7484350007001013,12818.726006249224,-1,-1,-1,-1,-1,-1,-1,0.729,69.7,86.5,5120.3,0.745,0.865,0.785,0.657,1145.877032,0.0893908670363479
SLV,SLV.6_1,SLV.6.12_1,0.060587215644273,3165.640456528033,-1,-1,-1,-1,-1,-1,-1,0.696,70.3,82.8,2944.8,0.755,0.828,0.769,0.565,360.736281,0.113953648859935
SLV,SLV.6_1,SLV.6.13_1,0.4421752899214324,19021.21391654778,-1,-1,-1,-1,-1,-1,-1,0.677,68.7,74.3,4275.2,0.728,0.743,0.676,0.627,1417.0599209999996,0.0744989214262086
SLV,SLV.6_1,SLV.6.14_1,0.555536591340416,23521.6777389509,-1,-1,-1,-1,-1,-1,-1,0.69,68.4,79.7,4167.4,0.723,0.797,0.724,0.623,1777.7508640000003,0.0755792543257286
